Round 3 Details
================================================================================

FEATURE-GT CORRELATIONS:
  gland_patch_ratio: r=-0.415
  tumor_median_nnd: r=+0.425
  tumor_mean_nnd: r=+0.405
  tumor_nnd_cv: r=-0.097
  gland_mask_fraction: r=-0.264
  gland_component_count: r=+0.216
  gland_component_count_norm: r=-0.260
  gland_mean_component_area: r=-0.190
  gland_median_component_area: r=-0.266
  gland_total_area_norm: r=-0.307
  gland_max_component_area: r=+0.015
  gland_large_component_count: r=+0.156
  gland_large_component_ratio: r=-0.257

ALL CONFIGURATIONS (sorted by adjusted score):
  gland_total_area_norm_only__Ridge_a10: adjusted=0.0498 (LOO r=0.085, IS r=0.307, gap=0.221) [F1=0.213 QWK=0.091]
  comp_count_norm+mean_area__PLS_1: adjusted=0.0336 (LOO r=0.106, IS r=0.400, gap=0.295) [F1=0.213 QWK=0.091]
  gland_median_area_only__PLS_1: adjusted=0.0330 (LOO r=0.061, IS r=0.266, gap=0.205) [F1=0.154 QWK=0.000]
  comp_count_norm+total_area_norm__Ridge_a10: adjusted=0.0320 (LOO r=0.081, IS r=0.329, gap=0.248) [F1=0.213 QWK=0.091]
  gland_large_ratio_only__PLS_1: adjusted=0.0313 (LOO r=0.056, IS r=0.257, gap=0.200) [F1=0.140 QWK=0.000]
  comp_count_norm+total_area_norm__Ridge_a1: adjusted=0.0294 (LOO r=0.080, IS r=0.330, gap=0.250) [F1=0.213 QWK=0.091]
  gland_median_area_only__Ridge_a1: adjusted=0.0267 (LOO r=0.056, IS r=0.266, gap=0.210) [F1=0.154 QWK=0.000]
  comp_count_norm+total_area_norm__PLS_2: adjusted=0.0261 (LOO r=0.077, IS r=0.330, gap=0.252) [F1=0.213 QWK=0.091]
  gland_large_ratio_only__Ridge_a1: adjusted=0.0247 (LOO r=0.052, IS r=0.257, gap=0.205) [F1=0.154 QWK=0.000]
  gland_total_area_norm_only__ElasticNet_a0.1: adjusted=0.0163 (LOO r=0.063, IS r=0.307, gap=0.244) [F1=0.154 QWK=0.000]
  gland_mask_frac_only__PLS_1: adjusted=0.0041 (LOO r=0.041, IS r=0.264, gap=0.223) [F1=0.213 QWK=0.091]
  gland_mask_frac_only__Ridge_a1: adjusted=-0.0026 (LOO r=0.036, IS r=0.264, gap=0.228) [F1=0.213 QWK=0.091]
  gland_comp_count_norm_only__PLS_1: adjusted=-0.0132 (LOO r=0.028, IS r=0.260, gap=0.232) [F1=0.167 QWK=0.000]
  gland_comp_count_norm_only__Ridge_a1: adjusted=-0.0207 (LOO r=0.023, IS r=0.260, gap=0.237) [F1=0.167 QWK=0.000]
  gland_median_area_only__Ridge_a10: adjusted=-0.0308 (LOO r=0.018, IS r=0.266, gap=0.248) [F1=0.167 QWK=0.000]
  gland_large_ratio_only__Ridge_a10: adjusted=-0.0344 (LOO r=0.013, IS r=0.257, gap=0.244) [F1=0.167 QWK=0.000]
  gland_comp_count_only__PLS_1: adjusted=-0.0610 (LOO r=-0.019, IS r=0.216, gap=0.235) [F1=0.154 QWK=0.000]
  gland_mask_frac_only__Ridge_a10: adjusted=-0.0630 (LOO r=-0.004, IS r=0.264, gap=0.268) [F1=0.167 QWK=0.000]
  gland_comp_count_only__Ridge_a1: adjusted=-0.0667 (LOO r=-0.022, IS r=0.216, gap=0.239) [F1=0.154 QWK=0.000]
  gland_median_area_only__ElasticNet_a0.1: adjusted=-0.0716 (LOO r=-0.009, IS r=0.266, gap=0.275) [F1=0.167 QWK=0.000]
  gland_large_ratio_only__ElasticNet_a0.1: adjusted=-0.0760 (LOO r=-0.015, IS r=0.257, gap=0.272) [F1=0.167 QWK=0.000]
  gland_comp_count_norm_only__Ridge_a10: adjusted=-0.0891 (LOO r=-0.023, IS r=0.260, gap=0.283) [F1=0.167 QWK=0.000]
  gland_comp_count_only__Ridge_a10: adjusted=-0.1220 (LOO r=-0.059, IS r=0.216, gap=0.276) [F1=0.154 QWK=0.000]
  gland_large_count_only__PLS_1: adjusted=-0.1712 (LOO r=-0.112, IS r=0.156, gap=0.268) [F1=0.154 QWK=0.000]
  gland_large_count_only__Ridge_a1: adjusted=-0.1791 (LOO r=-0.117, IS r=0.156, gap=0.274) [F1=0.154 QWK=0.000]
  gland_comp_count_only__Ridge_a100: adjusted=-1.0000 (LOO r=-0.397, IS r=0.216, gap=0.613) [F1=0.167 QWK=0.000]
  gland_comp_count_only__ElasticNet_a0.1: adjusted=-1.0000 (LOO r=-0.094, IS r=0.216, gap=0.311) [F1=0.154 QWK=0.000]
  gland_comp_count_only__ElasticNet_a0.5: adjusted=-1.0000 (LOO r=-1.000, IS r=0.000, gap=1.000) [F1=0.167 QWK=0.000]
  gland_comp_count_norm_only__Ridge_a100: adjusted=-1.0000 (LOO r=-0.432, IS r=0.260, gap=0.692) [F1=0.167 QWK=0.000]
  gland_comp_count_norm_only__ElasticNet_a0.1: adjusted=-1.0000 (LOO r=-0.083, IS r=0.260, gap=0.344) [F1=0.167 QWK=0.000]
  gland_comp_count_norm_only__ElasticNet_a0.5: adjusted=-1.0000 (LOO r=-0.994, IS r=0.000, gap=0.994) [F1=0.167 QWK=0.000]
  gland_mean_area_only__Ridge_a1: adjusted=-1.0000 (LOO r=-0.256, IS r=0.190, gap=0.446) [F1=0.167 QWK=0.000]
  gland_mean_area_only__Ridge_a10: adjusted=-1.0000 (LOO r=-0.323, IS r=0.190, gap=0.514) [F1=0.167 QWK=0.000]
  gland_mean_area_only__Ridge_a100: adjusted=-1.0000 (LOO r=-0.744, IS r=0.190, gap=0.934) [F1=0.167 QWK=0.000]
  gland_mean_area_only__ElasticNet_a0.1: adjusted=-1.0000 (LOO r=-0.473, IS r=0.190, gap=0.664) [F1=0.167 QWK=0.000]
  gland_mean_area_only__ElasticNet_a0.5: adjusted=-1.0000 (LOO r=-1.000, IS r=0.000, gap=1.000) [F1=0.167 QWK=0.000]
  gland_mean_area_only__PLS_1: adjusted=-1.0000 (LOO r=-0.248, IS r=0.190, gap=0.438) [F1=0.167 QWK=0.000]
  gland_median_area_only__Ridge_a100: adjusted=-1.0000 (LOO r=-0.343, IS r=0.266, gap=0.610) [F1=0.167 QWK=0.000]
