Round 2 Details
================================================================================

FEATURE-GT CORRELATIONS:
  gland_patch_ratio: r=-0.415
  gland_mask_fraction: r=-0.264
  tumor_mean_nnd: r=+0.405
  tumor_median_nnd: r=+0.425
  tumor_nnd_cv: r=-0.097
  tumor_nnd_std: r=+0.245
  tumor_nnd_iqr: r=+0.378
  tumor_cell_count_st: r=+0.296
  tumor_cell_fraction: r=+0.071
  tumor_cell_density: r=+0.301

ALL CONFIGURATIONS (sorted by adjusted score):
  nnd_iqr_only__Ridge_a10: adjusted=0.2044 (LOO r=0.212, IS r=0.378, gap=0.166) [F1=0.154 QWK=0.000]
  gland_ratio+mask+nnd__Ridge_a100: adjusted=0.2013 (LOO r=0.251, IS r=0.501, gap=0.250) [F1=0.232 QWK=0.095]
  nnd_iqr_only__ElasticNet_a0.1: adjusted=0.1979 (LOO r=0.208, IS r=0.378, gap=0.170) [F1=0.154 QWK=0.000]
  gland_ratio+nnd+density__Ridge_a100: adjusted=0.1944 (LOO r=0.246, IS r=0.499, gap=0.253) [F1=0.167 QWK=0.000]
  gland_ratio+mean_nnd__Ridge_a100: adjusted=0.1846 (LOO r=0.239, IS r=0.497, gap=0.258) [F1=0.167 QWK=0.000]
  gland_ratio+nnd_iqr__Ridge_a100: adjusted=0.1716 (LOO r=0.236, IS r=0.516, gap=0.280) [F1=0.167 QWK=0.000]
  tumor_density_only__PLS_1: adjusted=0.0970 (LOO r=0.115, IS r=0.301, gap=0.186) [F1=0.154 QWK=0.000]
  tumor_density_only__Ridge_a0.1: adjusted=0.0962 (LOO r=0.114, IS r=0.301, gap=0.186) [F1=0.154 QWK=0.000]
  tumor_density_only__Ridge_a1: adjusted=0.0886 (LOO r=0.109, IS r=0.301, gap=0.191) [F1=0.154 QWK=0.000]
  tumor_density_only__Ridge_a10: adjusted=0.0251 (LOO r=0.067, IS r=0.301, gap=0.234) [F1=0.154 QWK=0.000]
  gland_mask_only__PLS_1: adjusted=0.0035 (LOO r=0.040, IS r=0.264, gap=0.224) [F1=0.213 QWK=0.091]
  gland_mask_only__Ridge_a0.1: adjusted=0.0029 (LOO r=0.040, IS r=0.264, gap=0.224) [F1=0.213 QWK=0.091]
  tumor_density_only__ElasticNet_a0.1: adjusted=0.0019 (LOO r=0.052, IS r=0.301, gap=0.249) [F1=0.154 QWK=0.000]
  gland_mask_only__Ridge_a1: adjusted=-0.0032 (LOO r=0.036, IS r=0.264, gap=0.228) [F1=0.213 QWK=0.091]
  gland_mask_only__Ridge_a10: adjusted=-0.0636 (LOO r=-0.004, IS r=0.264, gap=0.269) [F1=0.167 QWK=0.000]
  nnd_std_only__PLS_1: adjusted=-0.0840 (LOO r=-0.024, IS r=0.245, gap=0.269) [F1=0.167 QWK=0.000]
  nnd_std_only__Ridge_a0.1: adjusted=-0.0848 (LOO r=-0.025, IS r=0.245, gap=0.270) [F1=0.167 QWK=0.000]
  nnd_std_only__Ridge_a1: adjusted=-0.0915 (LOO r=-0.029, IS r=0.245, gap=0.274) [F1=0.167 QWK=0.000]
  gland_ratio_only__Ridge_a100: adjusted=-1.0000 (LOO r=0.032, IS r=0.415, gap=0.383) [F1=0.167 QWK=0.000]
  gland_ratio_only__ElasticNet_a1: adjusted=-1.0000 (LOO r=-1.000, IS r=0.000, gap=1.000) [F1=0.167 QWK=0.000]
  gland_mask_only__Ridge_a100: adjusted=-1.0000 (LOO r=-0.377, IS r=0.264, gap=0.642) [F1=0.167 QWK=0.000]
  gland_mask_only__ElasticNet_a0.1: adjusted=-1.0000 (LOO r=-0.048, IS r=0.264, gap=0.313) [F1=0.167 QWK=0.000]
  gland_mask_only__ElasticNet_a1: adjusted=-1.0000 (LOO r=-1.000, IS r=0.000, gap=1.000) [F1=0.167 QWK=0.000]
  mean_nnd_only__Ridge_a100: adjusted=-1.0000 (LOO r=-0.005, IS r=0.405, gap=0.409) [F1=0.167 QWK=0.000]
  mean_nnd_only__ElasticNet_a1: adjusted=-1.0000 (LOO r=-1.000, IS r=0.000, gap=1.000) [F1=0.167 QWK=0.000]
  median_nnd_only__Ridge_a100: adjusted=-1.0000 (LOO r=0.033, IS r=0.425, gap=0.392) [F1=0.167 QWK=0.000]
  median_nnd_only__ElasticNet_a1: adjusted=-1.0000 (LOO r=-1.000, IS r=0.000, gap=1.000) [F1=0.167 QWK=0.000]
  nnd_cv_only__Ridge_a0.1: adjusted=-1.0000 (LOO r=-0.528, IS r=0.097, gap=0.624) [F1=0.171 QWK=-0.095]
  nnd_cv_only__Ridge_a1: adjusted=-1.0000 (LOO r=-0.533, IS r=0.097, gap=0.630) [F1=0.167 QWK=0.000]
  nnd_cv_only__Ridge_a10: adjusted=-1.0000 (LOO r=-0.584, IS r=0.097, gap=0.681) [F1=0.167 QWK=0.000]
  nnd_cv_only__Ridge_a100: adjusted=-1.0000 (LOO r=-0.850, IS r=0.097, gap=0.947) [F1=0.167 QWK=0.000]
  nnd_cv_only__ElasticNet_a0.1: adjusted=-1.0000 (LOO r=-0.649, IS r=0.097, gap=0.746) [F1=0.167 QWK=0.000]
  nnd_cv_only__ElasticNet_a1: adjusted=-1.0000 (LOO r=-1.000, IS r=0.000, gap=1.000) [F1=0.167 QWK=0.000]
  nnd_cv_only__PLS_1: adjusted=-1.0000 (LOO r=-0.527, IS r=0.097, gap=0.623) [F1=0.171 QWK=-0.095]
  nnd_std_only__Ridge_a10: adjusted=-1.0000 (LOO r=-0.074, IS r=0.245, gap=0.319) [F1=0.167 QWK=0.000]
  nnd_std_only__Ridge_a100: adjusted=-1.0000 (LOO r=-0.464, IS r=0.245, gap=0.709) [F1=0.167 QWK=0.000]
  nnd_std_only__ElasticNet_a0.1: adjusted=-1.0000 (LOO r=-0.136, IS r=0.245, gap=0.381) [F1=0.167 QWK=0.000]
  nnd_std_only__ElasticNet_a1: adjusted=-1.0000 (LOO r=-1.000, IS r=0.000, gap=1.000) [F1=0.167 QWK=0.000]
  nnd_iqr_only__Ridge_a100: adjusted=-1.0000 (LOO r=-0.072, IS r=0.378, gap=0.450) [F1=0.167 QWK=0.000]
  nnd_iqr_only__ElasticNet_a1: adjusted=-1.0000 (LOO r=-1.000, IS r=0.000, gap=1.000) [F1=0.167 QWK=0.000]
  tumor_density_only__Ridge_a100: adjusted=-1.0000 (LOO r=-0.221, IS r=0.301, gap=0.522) [F1=0.167 QWK=0.000]
  tumor_density_only__ElasticNet_a1: adjusted=-1.0000 (LOO r=-1.000, IS r=0.000, gap=1.000) [F1=0.167 QWK=0.000]
  tumor_frac_only__Ridge_a0.1: adjusted=-1.0000 (LOO r=-0.511, IS r=0.071, gap=0.583) [F1=0.171 QWK=-0.095]
  tumor_frac_only__Ridge_a1: adjusted=-1.0000 (LOO r=-0.517, IS r=0.071, gap=0.588) [F1=0.171 QWK=-0.095]
  tumor_frac_only__Ridge_a10: adjusted=-1.0000 (LOO r=-0.568, IS r=0.071, gap=0.639) [F1=0.167 QWK=0.000]
  tumor_frac_only__Ridge_a100: adjusted=-1.0000 (LOO r=-0.841, IS r=0.071, gap=0.912) [F1=0.167 QWK=0.000]
  tumor_frac_only__ElasticNet_a0.1: adjusted=-1.0000 (LOO r=-0.639, IS r=0.071, gap=0.711) [F1=0.167 QWK=0.000]
  tumor_frac_only__ElasticNet_a1: adjusted=-1.0000 (LOO r=-1.000, IS r=0.000, gap=1.000) [F1=0.167 QWK=0.000]
