Round 10 Details
================================================================================

Best model: gland_PCA20_a1
Description: gland emb PCA(20) + Ridge(a=1)
LOO Pearson r: 0.6571
IS Pearson r: 0.9466
Gap: 0.2895
Adjusted: 0.5874

Best per category:
  Gland Embedding: gland_PCA20_a1 adj=0.5874 LOO_r=0.6571 gap=0.2895
  Tumor Cell Embedding: tumor_PCA3_a1 adj=0.1153 LOO_r=0.1665 gap=0.2524
  Combined Embedding: combined_PCA5_a1 adj=0.2029 LOO_r=0.2639 gap=0.2720
  Blend: blend_g0.7_gland_PCA20_a1_c0.3_combined_PCA5_a20 adj=0.5667 LOO_r=0.6387 gap=0.2939
  ElasticNet: gland_EN_PCA20_a0.01_l10.5 adj=0.5854 LOO_r=0.6558 gap=0.2907

All configurations (sorted by adjusted):
  tumor_PCA7_a200: adj=-1.0000 LOO_r=-0.0957 IS_r=0.4472 gap=0.5429 F1=0.2179 QWK=-0.0833
  tumor_PCA10_a1: adj=-1.0000 LOO_r=-0.3969 IS_r=0.4719 gap=0.8688 F1=0.1333 QWK=-0.4000
  tumor_PCA10_a5: adj=-1.0000 LOO_r=-0.3949 IS_r=0.4719 gap=0.8668 F1=0.1333 QWK=-0.4000
  tumor_PCA10_a10: adj=-1.0000 LOO_r=-0.3923 IS_r=0.4719 gap=0.8642 F1=0.1333 QWK=-0.4000
  tumor_PCA10_a50: adj=-1.0000 LOO_r=-0.3730 IS_r=0.4716 gap=0.8446 F1=0.1333 QWK=-0.4000
  tumor_PCA10_a100: adj=-1.0000 LOO_r=-0.3517 IS_r=0.4708 gap=0.8225 F1=0.1290 QWK=-0.3448
  tumor_PCA10_a200: adj=-1.0000 LOO_r=-0.3220 IS_r=0.4687 gap=0.7907 F1=0.1250 QWK=-0.2857
  tumor_PCA15_a1: adj=-1.0000 LOO_r=0.1457 IS_r=0.8753 gap=0.7296 F1=0.4405 QWK=0.1250
  tumor_PCA15_a5: adj=-1.0000 LOO_r=0.1410 IS_r=0.8747 gap=0.7337 F1=0.4422 QWK=0.1935
  tumor_PCA15_a10: adj=-1.0000 LOO_r=0.1350 IS_r=0.8738 gap=0.7388 F1=0.4422 QWK=0.1935
  tumor_PCA15_a50: adj=-1.0000 LOO_r=0.0965 IS_r=0.8651 gap=0.7686 F1=0.3562 QWK=0.0690
  tumor_PCA15_a100: adj=-1.0000 LOO_r=0.0640 IS_r=0.8484 gap=0.7844 F1=0.3095 QWK=0.0000
  tumor_PCA15_a200: adj=-1.0000 LOO_r=0.0087 IS_r=0.8113 gap=0.8026 F1=0.3095 QWK=0.0000
  tumor_PCA20_a1: adj=-1.0000 LOO_r=0.1129 IS_r=0.9028 gap=0.7899 F1=0.4931 QWK=0.1081
  tumor_PCA20_a5: adj=-1.0000 LOO_r=0.1099 IS_r=0.9023 gap=0.7925 F1=0.4169 QWK=0.0000
  tumor_PCA20_a10: adj=-1.0000 LOO_r=0.1073 IS_r=0.9016 gap=0.7942 F1=0.4173 QWK=0.1212
  tumor_PCA20_a50: adj=-1.0000 LOO_r=0.0914 IS_r=0.8901 gap=0.7987 F1=0.3556 QWK=0.0000
  tumor_PCA20_a100: adj=-1.0000 LOO_r=0.0669 IS_r=0.8704 gap=0.8035 F1=0.3117 QWK=-0.0690
  tumor_PCA20_a200: adj=-1.0000 LOO_r=0.0226 IS_r=0.8298 gap=0.8072 F1=0.3117 QWK=-0.0690
  combined_PCA7_a1: adj=-1.0000 LOO_r=0.2377 IS_r=0.6024 gap=0.3647 F1=0.3273 QWK=0.1600
  combined_PCA7_a5: adj=-1.0000 LOO_r=0.2380 IS_r=0.6024 gap=0.3644 F1=0.3273 QWK=0.1600
  combined_PCA7_a10: adj=-1.0000 LOO_r=0.2377 IS_r=0.6024 gap=0.3647 F1=0.3273 QWK=0.1600
  combined_PCA7_a20: adj=-1.0000 LOO_r=0.2377 IS_r=0.6025 gap=0.3648 F1=0.3273 QWK=0.1600
  combined_PCA7_a50: adj=-1.0000 LOO_r=0.2376 IS_r=0.6025 gap=0.3649 F1=0.3273 QWK=0.1600
  combined_PCA7_a100: adj=-1.0000 LOO_r=0.2377 IS_r=0.6027 gap=0.3650 F1=0.3273 QWK=0.1600
  combined_PCA7_a200: adj=-1.0000 LOO_r=0.2366 IS_r=0.6028 gap=0.3662 F1=0.3273 QWK=0.1600
  combined_PCA10_a1: adj=-1.0000 LOO_r=0.2477 IS_r=0.7019 gap=0.4542 F1=0.3780 QWK=0.0714
  combined_PCA10_a5: adj=-1.0000 LOO_r=0.2477 IS_r=0.7017 gap=0.4540 F1=0.3780 QWK=0.0714
  combined_PCA10_a10: adj=-1.0000 LOO_r=0.2482 IS_r=0.7017 gap=0.4535 F1=0.3780 QWK=0.0714
  combined_PCA10_a20: adj=-1.0000 LOO_r=0.2483 IS_r=0.7018 gap=0.4535 F1=0.3780 QWK=0.0714
  combined_PCA10_a50: adj=-1.0000 LOO_r=0.2492 IS_r=0.7016 gap=0.4524 F1=0.3780 QWK=0.0714
  combined_PCA10_a100: adj=-1.0000 LOO_r=0.2508 IS_r=0.7011 gap=0.4503 F1=0.3780 QWK=0.0714
