Round 6 Details
================================================================================

Best model: E_PCA20_Ridge_a50
Description: gland emb PCA(20) + Ridge(a=50)
LOO Pearson r: 0.6469
IS Pearson r: 0.9441
Gap: 0.2972
Adjusted: 0.5733

Best at various gap thresholds:
  gap<=0.30: E_PCA20_Ridge_a50 LOO_r=0.6469 gap=0.2972 adj=0.5733

All configurations (sorted by adjusted):
  C_PCA8_EN_a0.1_l0.9: adj=-1.0000 LOO_r=0.3215 IS_r=0.7132 gap=0.3917 F1=0.3519 QWK=0.2609
  C_PCA8_EN_a0.3_l0.3: adj=-1.0000 LOO_r=0.3215 IS_r=0.7132 gap=0.3917 F1=0.3519 QWK=0.2609
  C_PCA8_EN_a0.3_l0.5: adj=-1.0000 LOO_r=0.3215 IS_r=0.7154 gap=0.3939 F1=0.3519 QWK=0.2609
  C_PCA8_EN_a0.3_l0.7: adj=-1.0000 LOO_r=0.3203 IS_r=0.7165 gap=0.3962 F1=0.3519 QWK=0.2609
  C_PCA8_EN_a0.3_l0.9: adj=-1.0000 LOO_r=0.3170 IS_r=0.7173 gap=0.4003 F1=0.3519 QWK=0.2609
  C_PCA8_EN_a0.5_l0.3: adj=-1.0000 LOO_r=0.3215 IS_r=0.7154 gap=0.3939 F1=0.3519 QWK=0.2609
  C_PCA8_EN_a0.5_l0.5: adj=-1.0000 LOO_r=0.3180 IS_r=0.7170 gap=0.3990 F1=0.3519 QWK=0.2609
  C_PCA8_EN_a0.5_l0.7: adj=-1.0000 LOO_r=0.3102 IS_r=0.7178 gap=0.4077 F1=0.3519 QWK=0.2609
  C_PCA8_EN_a0.5_l0.9: adj=-1.0000 LOO_r=0.3004 IS_r=0.7176 gap=0.4172 F1=0.2967 QWK=0.1818
  C_PCA8_EN_a1.0_l0.3: adj=-1.0000 LOO_r=0.3139 IS_r=0.7175 gap=0.4036 F1=0.3519 QWK=0.2609
  C_PCA8_EN_a1.0_l0.5: adj=-1.0000 LOO_r=0.2940 IS_r=0.7171 gap=0.4231 F1=0.2967 QWK=0.1818
  C_PCA8_EN_a1.0_l0.7: adj=-1.0000 LOO_r=0.2693 IS_r=0.7131 gap=0.4438 F1=0.2315 QWK=0.0952
  C_PCA8_EN_a1.0_l0.9: adj=-1.0000 LOO_r=0.2416 IS_r=0.7040 gap=0.4624 F1=0.2315 QWK=0.0952
  C_PCA10_EN_a0.05_l0.3: adj=-1.0000 LOO_r=0.4744 IS_r=0.8318 gap=0.3574 F1=0.4149 QWK=0.3846
