Round 19 Details
================================================================================

Approach: Increased tumor PCA to 29 components
  Systematic sweep: tPC x gPC x interpretable features x Ridge alpha
  Key test: dropping gf (Config C) to see if D8-A27N error is fixed
  musk_tumor PCA→29, musk_gland PCA→20
  LOO-safe PC selection, ONE Ridge model

Best model: A_tPC8_gPC3_gf_git_bgit_a1.5
Description: Ridge(a=1.5) tPC(8)+gPC(3)+gf_git_bgit [f=14]
LOO Pearson r: 0.9226
IS Pearson r: 0.9840
Gap: 0.0614
Adjusted: 0.9226

Feature correlations:
  gf: r=-0.4148
  git: r=-0.5571
  bgit: r=-0.1272

All configurations (310 total, sorted by adjusted):
  E_tPC9_gPC4_gf_bgit_a1.5: adj=0.8909 LOO_r=0.8909 IS_r=0.9834 gap=0.0924 F1=0.7714 QWK=0.7879
  E_tPC10_gPC4_gf_a1.5: adj=0.8909 LOO_r=0.8909 IS_r=0.9867 gap=0.0959 F1=0.7348 QWK=0.7500
  C_tPC9_gPC3_git_bgit_a1.0: adj=0.8904 LOO_r=0.8904 IS_r=0.9790 gap=0.0886 F1=0.7384 QWK=0.7895
  E_tPC10_gPC4_gf_a1.0: adj=0.8897 LOO_r=0.8897 IS_r=0.9875 gap=0.0978 F1=0.7714 QWK=0.7879
  E_tPC9_gPC4_gf_bgit_a1.0: adj=0.8890 LOO_r=0.8890 IS_r=0.9843 gap=0.0953 F1=0.7716 QWK=0.8000
  B_tPC10_gPC5_gf_git_bgit_a1.0: adj=0.8878 LOO_r=0.8878 IS_r=0.9909 gap=0.1031 F1=0.6718 QWK=0.6875
  C_tPC9_gPC4_git_bgit_a2.0: adj=0.8875 LOO_r=0.8875 IS_r=0.9788 gap=0.0913 F1=0.7716 QWK=0.8000
  C_tPC10_gPC4_git_bgit_a1.5: adj=0.8871 LOO_r=0.8871 IS_r=0.9876 gap=0.1005 F1=0.7348 QWK=0.7500
  E_tPC10_gPC4_gf_a0.5: adj=0.8865 LOO_r=0.8865 IS_r=0.9882 gap=0.1017 F1=0.7406 QWK=0.7647
  B_tPC9_gPC5_gf_git_bgit_a0.5: adj=0.8861 LOO_r=0.8861 IS_r=0.9891 gap=0.1030 F1=0.7714 QWK=0.7879
  E_tPC10_gPC3_gf_bgit_a1.0: adj=0.8855 LOO_r=0.8855 IS_r=0.9868 gap=0.1013 F1=0.7406 QWK=0.7647
  E_tPC10_gPC3_gf_bgit_a1.5: adj=0.8851 LOO_r=0.8851 IS_r=0.9860 gap=0.1009 F1=0.7348 QWK=0.7500
  E_tPC9_gPC4_gf_bgit_a0.5: adj=0.8850 LOO_r=0.8850 IS_r=0.9852 gap=0.1002 F1=0.8056 QWK=0.8333
