Round 12 Details
================================================================================

Best model: blend_gt_g0.60_gland_PCA20_a0.1_t0.40_tumor_PCA12_a0.1
Description: Blend 0.60*gland_PCA20_a0.1 + 0.40*tumor_PCA12_a0.1
LOO Pearson r: 0.6750
IS Pearson r: 0.9430
Gap: 0.2680
Adjusted: 0.6160

Best per category:
  Gland Embedding: gland_PCA20_a0.1 adj=0.5877 LOO_r=0.6573 gap=0.2893
  Tumor Embedding: tumor_PCA12_a0.1 adj=0.5200 LOO_r=0.5812 gap=0.2723
  Cell Embedding: cell_PCA5_a0.1 adj=-1.0000 LOO_r=0.0449 gap=0.3825
  GT Combined: gt_combined_PCA10_a1 adj=0.4769 LOO_r=0.5451 gap=0.2863
  GC Combined: gc_combined_PCA10_a1 adj=-1.0000 LOO_r=0.2481 gap=0.4537
  All3 Combined: all3_combined_PCA10_a1 adj=-1.0000 LOO_r=0.3562 gap=0.4156
  Blend GT (2-way): blend_gt_g0.60_gland_PCA20_a0.1_t0.40_tumor_PCA12_a0.1 adj=0.6160 LOO_r=0.6750 gap=0.2680

  gland_PCA20_a0.1: adj=0.5877 LOO_r=0.6573 IS_r=0.9466 gap=0.2893 F1=0.6071 QWK=0.6250
  gland_PCA20_a1: adj=0.5874 LOO_r=0.6571 IS_r=0.9466 gap=0.2895 F1=0.6071 QWK=0.6250
  gland_PCA20_a5: adj=0.5862 LOO_r=0.6562 IS_r=0.9464 gap=0.2901 F1=0.6071 QWK=0.6250
  gland_PCA20_a10: adj=0.5847 LOO_r=0.6552 IS_r=0.9461 gap=0.2910 F1=0.6071 QWK=0.6250
  gland_PCA20_a50: adj=0.5733 LOO_r=0.6469 IS_r=0.9441 gap=0.2972 F1=0.5700 QWK=0.5806
  tumor_PCA12_a0.1: adj=0.5200 LOO_r=0.5812 IS_r=0.8535 gap=0.2723 F1=0.4329 QWK=0.3846
  tumor_PCA12_a1: adj=0.5199 LOO_r=0.5811 IS_r=0.8535 gap=0.2724 F1=0.4329 QWK=0.3846
  tumor_PCA12_a5: adj=0.5195 LOO_r=0.5808 IS_r=0.8535 gap=0.2726 F1=0.4329 QWK=0.3846
  tumor_PCA12_a10: adj=0.5191 LOO_r=0.5805 IS_r=0.8534 gap=0.2729 F1=0.4329 QWK=0.3846
  tumor_PCA12_a50: adj=0.5153 LOO_r=0.5778 IS_r=0.8528 gap=0.2750 F1=0.4329 QWK=0.3846
  gt_combined_PCA10_a1: adj=0.4769 LOO_r=0.5451 IS_r=0.8314 gap=0.2863 F1=0.3749 QWK=0.3200
  gt_combined_PCA10_a10: adj=0.4768 LOO_r=0.5450 IS_r=0.8314 gap=0.2864 F1=0.3749 QWK=0.3200
  gt_combined_PCA10_a50: adj=0.4741 LOO_r=0.5432 IS_r=0.8316 gap=0.2883 F1=0.3749 QWK=0.3200
  tumor_PCA10_a0.1: adj=0.4725 LOO_r=0.5372 IS_r=0.8167 gap=0.2795 F1=0.4747 QWK=0.3571
  tumor_PCA10_a1: adj=0.4724 LOO_r=0.5372 IS_r=0.8167 gap=0.2795 F1=0.4747 QWK=0.3571
  gt_combined_PCA10_a100: adj=0.4720 LOO_r=0.5413 IS_r=0.8297 gap=0.2885 F1=0.3749 QWK=0.3200
  tumor_PCA10_a5: adj=0.4719 LOO_r=0.5368 IS_r=0.8166 gap=0.2798 F1=0.4747 QWK=0.3571
  tumor_PCA10_a10: adj=0.4713 LOO_r=0.5364 IS_r=0.8165 gap=0.2801 F1=0.4747 QWK=0.3571
  tumor_PCA10_a50: adj=0.4675 LOO_r=0.5335 IS_r=0.8157 gap=0.2822 F1=0.4747 QWK=0.3571
  gland_PCA10_a0.1: adj=-1.0000 LOO_r=0.4755 IS_r=0.8320 gap=0.3565 F1=0.4149 QWK=0.3846
  gland_PCA10_a1: adj=-1.0000 LOO_r=0.4755 IS_r=0.8321 gap=0.3566 F1=0.4149 QWK=0.3846
  gland_PCA10_a5: adj=-1.0000 LOO_r=0.4749 IS_r=0.8319 gap=0.3569 F1=0.4149 QWK=0.3846
  gland_PCA10_a10: adj=-1.0000 LOO_r=0.4747 IS_r=0.8317 gap=0.3569 F1=0.4149 QWK=0.3846
  gland_PCA10_a50: adj=-1.0000 LOO_r=0.4711 IS_r=0.8310 gap=0.3599 F1=0.4149 QWK=0.3846
  gland_PCA10_a100: adj=-1.0000 LOO_r=0.4664 IS_r=0.8300 gap=0.3635 F1=0.4149 QWK=0.3846
  gland_PCA12_a0.1: adj=-1.0000 LOO_r=0.4758 IS_r=0.8366 gap=0.3608 F1=0.4470 QWK=0.4286
  gland_PCA12_a1: adj=-1.0000 LOO_r=0.4756 IS_r=0.8366 gap=0.3610 F1=0.4470 QWK=0.4286
  gland_PCA12_a5: adj=-1.0000 LOO_r=0.4756 IS_r=0.8365 gap=0.3610 F1=0.4470 QWK=0.4286
  gland_PCA12_a10: adj=-1.0000 LOO_r=0.4753 IS_r=0.8365 gap=0.3612 F1=0.4470 QWK=0.4286
  gland_PCA12_a50: adj=-1.0000 LOO_r=0.4734 IS_r=0.8358 gap=0.3624 F1=0.3949 QWK=0.3704
  gland_PCA12_a100: adj=-1.0000 LOO_r=0.4706 IS_r=0.8347 gap=0.3641 F1=0.3949 QWK=0.3704
  gland_PCA15_a0.1: adj=-1.0000 LOO_r=0.4829 IS_r=0.8692 gap=0.3863 F1=0.4717 QWK=0.4242
  gland_PCA15_a1: adj=-1.0000 LOO_r=0.4828 IS_r=0.8690 gap=0.3862 F1=0.4717 QWK=0.4242
  gland_PCA15_a5: adj=-1.0000 LOO_r=0.4835 IS_r=0.8688 gap=0.3853 F1=0.4717 QWK=0.4242
  gland_PCA15_a10: adj=-1.0000 LOO_r=0.4838 IS_r=0.8687 gap=0.3849 F1=0.4717 QWK=0.4242
  gland_PCA15_a50: adj=-1.0000 LOO_r=0.4868 IS_r=0.8672 gap=0.3804 F1=0.4717 QWK=0.4242
  gland_PCA15_a100: adj=-1.0000 LOO_r=0.4891 IS_r=0.8652 gap=0.3761 F1=0.5013 QWK=0.4375
  gland_PCA20_a100: adj=-1.0000 LOO_r=0.6376 IS_r=0.9411 gap=0.3035 F1=0.5333 QWK=0.5333
  tumor_PCA8_a0.1: adj=-1.0000 LOO_r=0.3452 IS_r=0.8005 gap=0.4554 F1=0.3392 QWK=0.2963
