Round 16 Details
================================================================================

Approach: LOO-safe PC selection from musk_gland + musk_tumor PCA(20) + gland_frac
Models: Ridge, ElasticNet only (per human instructions)
PC selection: inside each LOO fold, select top-k PCs by |pearsonr(PC, y_train)|.

Best model: ridge_a10_gPC4_tPC6_interp0
Description: Ridge(a=10) gPC(4)+tPC(6)+interp(0) [f=10]
LOO Pearson r: 0.8033
IS Pearson r: 0.9047
Gap: 0.1014
Adjusted: 0.8033

All configurations (sorted by adjusted):
  ridge_a50_gPC4_tPC6_interp1: adj=0.7573 LOO_r=0.7573 IS_r=0.8819 gap=0.1246 F1=0.2865 QWK=0.1818
  ridge_a10_gPC3_tPC6_interp1: adj=0.7573 LOO_r=0.7573 IS_r=0.8697 gap=0.1124 F1=0.5700 QWK=0.5806
  ridge_a20_gPC3_tPC6_interp1: adj=0.7568 LOO_r=0.7568 IS_r=0.8613 gap=0.1045 F1=0.5191 QWK=0.5000
  enet_a0.05_l10.3_gPC0_tPC6_interp1: adj=0.7552 LOO_r=0.7552 IS_r=0.8693 gap=0.1141 F1=0.6071 QWK=0.6250
  ridge_a2_gPC3_tPC6_interp0: adj=0.7548 LOO_r=0.7548 IS_r=0.8792 gap=0.1244 F1=0.6442 QWK=0.6857
  enet_a0.5_l10.1_gPC4_tPC6_interp1: adj=0.7534 LOO_r=0.7534 IS_r=0.8949 gap=0.1416 F1=0.3620 QWK=0.3077
  ridge_a100_gPC4_tPC6_interp0: adj=0.7533 LOO_r=0.7533 IS_r=0.8901 gap=0.1368 F1=0.2315 QWK=0.0952
  ridge_a20_gPC5_tPC6_interp0: adj=0.7530 LOO_r=0.7530 IS_r=0.8977 gap=0.1447 F1=0.4785 QWK=0.4444
  ridge_a10_gPC5_tPC6_interp0: adj=0.7527 LOO_r=0.7529 IS_r=0.9033 gap=0.1504 F1=0.5405 QWK=0.5625
  ridge_a50_gPC3_tPC6_interp1: adj=0.7515 LOO_r=0.7515 IS_r=0.8475 gap=0.0960 F1=0.2865 QWK=0.1818
  enet_a0.1_l10.3_gPC0_tPC6_interp0: adj=0.7512 LOO_r=0.7512 IS_r=0.8586 gap=0.1074 F1=0.5700 QWK=0.5806
  ridge_a5_gPC3_tPC6_interp1: adj=0.7511 LOO_r=0.7511 IS_r=0.8760 gap=0.1249 F1=0.5773 QWK=0.6061
  enet_a0.1_l10.3_gPC0_tPC6_interp1: adj=0.7510 LOO_r=0.7510 IS_r=0.8586 gap=0.1076 F1=0.5700 QWK=0.5806
  ridge_a5_gPC4_tPC5_interp0: adj=0.7503 LOO_r=0.7512 IS_r=0.9030 gap=0.1518 F1=0.5805 QWK=0.6286
  ridge_a1_gPC3_tPC6_interp0: adj=0.7500 LOO_r=0.7500 IS_r=0.8799 gap=0.1299 F1=0.6442 QWK=0.6857
  ridge_a5_gPC4_tPC4_interp0: adj=0.7490 LOO_r=0.7498 IS_r=0.9016 gap=0.1517 F1=0.5805 QWK=0.6286
  ridge_a2_gPC4_tPC4_interp0: adj=0.7489 LOO_r=0.7507 IS_r=0.9043 gap=0.1536 F1=0.5805 QWK=0.6286
  ridge_a20_gPC7_tPC6_interp0: adj=0.7487 LOO_r=0.7522 IS_r=0.9092 gap=0.1570 F1=0.4034 QWK=0.3704
  enet_a0.1_l10.5_gPC4_tPC6_interp0: adj=0.7484 LOO_r=0.7499 IS_r=0.9030 gap=0.1531 F1=0.5748 QWK=0.6061
  enet_a0.1_l10.1_gPC3_tPC6_interp0: adj=0.7482 LOO_r=0.7482 IS_r=0.8769 gap=0.1287 F1=0.6442 QWK=0.6857
  ridge_a10_gPC7_tPC6_interp0: adj=0.7476 LOO_r=0.7529 IS_r=0.9134 gap=0.1605 F1=0.5417 QWK=0.5625
  enet_a0.05_l10.1_gPC3_tPC6_interp0: adj=0.7474 LOO_r=0.7474 IS_r=0.8790 gap=0.1315 F1=0.6442 QWK=0.6857
  enet_a0.1_l10.5_gPC4_tPC6_interp1: adj=0.7474 LOO_r=0.7493 IS_r=0.9030 gap=0.1537 F1=0.5748 QWK=0.6061
  ridge_a1_gPC4_tPC4_interp0: adj=0.7470 LOO_r=0.7496 IS_r=0.9049 gap=0.1553 F1=0.6111 QWK=0.6667
  ridge_a10_gPC4_tPC5_interp0: adj=0.7469 LOO_r=0.7472 IS_r=0.8978 gap=0.1506 F1=0.4667 QWK=0.4667
  enet_a0.05_l10.5_gPC0_tPC6_interp1: adj=0.7468 LOO_r=0.7468 IS_r=0.8649 gap=0.1181 F1=0.5773 QWK=0.6061
  ridge_a0.5_gPC3_tPC6_interp0: adj=0.7466 LOO_r=0.7466 IS_r=0.8802 gap=0.1336 F1=0.6442 QWK=0.6857
  ridge_a2_gPC4_tPC5_interp0: adj=0.7465 LOO_r=0.7496 IS_r=0.9059 gap=0.1563 F1=0.6111 QWK=0.6667
  ridge_a0.5_gPC4_tPC4_interp0: adj=0.7452 LOO_r=0.7485 IS_r=0.9051 gap=0.1566 F1=0.6111 QWK=0.6667
  enet_a0.05_l10.1_gPC4_tPC4_interp0: adj=0.7451 LOO_r=0.7481 IS_r=0.9040 gap=0.1559 F1=0.5805 QWK=0.6286
  enet_a0.1_l10.1_gPC4_tPC4_interp0: adj=0.7442 LOO_r=0.7469 IS_r=0.9021 gap=0.1553 F1=0.5805 QWK=0.6286
  ridge_a20_gPC0_tPC6_interp0: adj=0.7442 LOO_r=0.7442 IS_r=0.8519 gap=0.1076 F1=0.3996 QWK=0.3333
  enet_a0.01_l10.1_gPC3_tPC6_interp0: adj=0.7438 LOO_r=0.7438 IS_r=0.8801 gap=0.1363 F1=0.6442 QWK=0.6857
  enet_a0.01_l10.1_gPC4_tPC4_interp0: adj=0.7435 LOO_r=0.7474 IS_r=0.9051 gap=0.1577 F1=0.6111 QWK=0.6667
  ridge_a10_gPC0_tPC6_interp1: adj=0.7432 LOO_r=0.7432 IS_r=0.8498 gap=0.1066 F1=0.5333 QWK=0.5333
  enet_a0.1_l10.1_gPC4_tPC5_interp1: adj=0.7432 LOO_r=0.7468 IS_r=0.9040 gap=0.1572 F1=0.6111 QWK=0.6667
  enet_a0.1_l10.1_gPC4_tPC5_interp0: adj=0.7431 LOO_r=0.7467 IS_r=0.9040 gap=0.1573 F1=0.6111 QWK=0.6667
  ridge_a0.1_gPC4_tPC4_interp0: adj=0.7429 LOO_r=0.7470 IS_r=0.9053 gap=0.1582 F1=0.6111 QWK=0.6667
  ridge_a100_gPC3_tPC6_interp0: adj=0.7429 LOO_r=0.7429 IS_r=0.8536 gap=0.1107 F1=0.1667 QWK=0.0000
  ridge_a0.1_gPC3_tPC6_interp0: adj=0.7429 LOO_r=0.7429 IS_r=0.8803 gap=0.1375 F1=0.6442 QWK=0.6857
  ridge_a1_gPC4_tPC5_interp0: adj=0.7426 LOO_r=0.7473 IS_r=0.9067 gap=0.1594 F1=0.6111 QWK=0.6667
  enet_a0.1_l10.1_gPC4_tPC4_interp1: adj=0.7425 LOO_r=0.7457 IS_r=0.9021 gap=0.1565 F1=0.5805 QWK=0.6286
  ridge_a0.01_gPC4_tPC4_interp0: adj=0.7423 LOO_r=0.7466 IS_r=0.9053 gap=0.1587 F1=0.6111 QWK=0.6667
  ridge_a5_gPC4_tPC5_interp1: adj=0.7422 LOO_r=0.7458 IS_r=0.9028 gap=0.1571 F1=0.5805 QWK=0.6286
  ridge_a5_gPC5_tPC6_interp0: adj=0.7422 LOO_r=0.7474 IS_r=0.9078 gap=0.1604 F1=0.5783 QWK=0.6286
  enet_a0.01_l10.3_gPC4_tPC4_interp0: adj=0.7421 LOO_r=0.7464 IS_r=0.9049 gap=0.1585 F1=0.6111 QWK=0.6667
  enet_a0.1_l10.1_gPC3_tPC6_interp1: adj=0.7419 LOO_r=0.7419 IS_r=0.8769 gap=0.1350 F1=0.6100 QWK=0.6471
  ridge_a0.01_gPC3_tPC6_interp0: adj=0.7418 LOO_r=0.7418 IS_r=0.8804 gap=0.1385 F1=0.6442 QWK=0.6857
  enet_a0.01_l10.3_gPC3_tPC6_interp0: adj=0.7418 LOO_r=0.7418 IS_r=0.8799 gap=0.1381 F1=0.6442 QWK=0.6857
  ridge_a10_gPC4_tPC5_interp1: adj=0.7418 LOO_r=0.7433 IS_r=0.8964 gap=0.1531 F1=0.4667 QWK=0.4667
  enet_a0.05_l10.1_gPC4_tPC5_interp0: adj=0.7417 LOO_r=0.7464 IS_r=0.9058 gap=0.1594 F1=0.6111 QWK=0.6667
  ridge_a20_gPC5_tPC6_interp1: adj=0.7416 LOO_r=0.7423 IS_r=0.8936 gap=0.1513 F1=0.4524 QWK=0.4286
  ridge_a10_gPC4_tPC4_interp0: adj=0.7413 LOO_r=0.7429 IS_r=0.8961 gap=0.1532 F1=0.5557 QWK=0.5517
  ridge_a2_gPC3_tPC6_interp1: adj=0.7413 LOO_r=0.7413 IS_r=0.8795 gap=0.1382 F1=0.6442 QWK=0.6857
  enet_a0.05_l10.3_gPC4_tPC4_interp1: adj=0.7408 LOO_r=0.7447 IS_r=0.9026 gap=0.1579 F1=0.5805 QWK=0.6286
  enet_a0.01_l10.5_gPC4_tPC4_interp0: adj=0.7407 LOO_r=0.7454 IS_r=0.9046 gap=0.1593 F1=0.6111 QWK=0.6667
  ridge_a5_gPC4_tPC4_interp1: adj=0.7405 LOO_r=0.7441 IS_r=0.9014 gap=0.1572 F1=0.5474 QWK=0.5882
  enet_a0.01_l10.5_gPC3_tPC6_interp0: adj=0.7398 LOO_r=0.7398 IS_r=0.8796 gap=0.1399 F1=0.6100 QWK=0.6471
  ridge_a0.5_gPC4_tPC5_interp0: adj=0.7394 LOO_r=0.7453 IS_r=0.9071 gap=0.1617 F1=0.6111 QWK=0.6667
  ridge_a2_gPC4_tPC4_interp1: adj=0.7386 LOO_r=0.7439 IS_r=0.9044 gap=0.1605 F1=0.5805 QWK=0.6286
  enet_a0.05_l10.3_gPC4_tPC4_interp0: adj=0.7385 LOO_r=0.7432 IS_r=0.9026 gap=0.1594 F1=0.5805 QWK=0.6286
  enet_a0.05_l10.1_gPC4_tPC4_interp1: adj=0.7383 LOO_r=0.7435 IS_r=0.9041 gap=0.1605 F1=0.5805 QWK=0.6286
  enet_a0.01_l10.1_gPC4_tPC5_interp0: adj=0.7370 LOO_r=0.7437 IS_r=0.9071 gap=0.1634 F1=0.6111 QWK=0.6667
  ridge_a10_gPC5_tPC6_interp1: adj=0.7367 LOO_r=0.7419 IS_r=0.9024 gap=0.1604 F1=0.4999 QWK=0.5161
  ridge_a20_gPC7_tPC6_interp1: adj=0.7366 LOO_r=0.7426 IS_r=0.9044 gap=0.1619 F1=0.4470 QWK=0.4286
  ridge_a10_gPC6_tPC6_interp0: adj=0.7365 LOO_r=0.7453 IS_r=0.9128 gap=0.1675 F1=0.5700 QWK=0.5806
  enet_a0.05_l10.1_gPC3_tPC6_interp1: adj=0.7365 LOO_r=0.7365 IS_r=0.8791 gap=0.1427 F1=0.6442 QWK=0.6857
  enet_a0.05_l10.3_gPC3_tPC6_interp0: adj=0.7362 LOO_r=0.7362 IS_r=0.8775 gap=0.1413 F1=0.5728 QWK=0.6061
  ridge_a0.1_gPC4_tPC5_interp0: adj=0.7359 LOO_r=0.7430 IS_r=0.9073 gap=0.1643 F1=0.6111 QWK=0.6667
  enet_a0.01_l10.3_gPC4_tPC5_interp0: adj=0.7355 LOO_r=0.7426 IS_r=0.9069 gap=0.1642 F1=0.6111 QWK=0.6667
  enet_a0.05_l10.3_gPC3_tPC6_interp1: adj=0.7352 LOO_r=0.7352 IS_r=0.8775 gap=0.1423 F1=0.5728 QWK=0.6061
  ridge_a0.01_gPC4_tPC5_interp0: adj=0.7349 LOO_r=0.7424 IS_r=0.9073 gap=0.1649 F1=0.6111 QWK=0.6667
  ridge_a1_gPC4_tPC4_interp1: adj=0.7349 LOO_r=0.7416 IS_r=0.9051 gap=0.1635 F1=0.5805 QWK=0.6286
  ridge_a1_gPC3_tPC6_interp1: adj=0.7349 LOO_r=0.7349 IS_r=0.8804 gap=0.1455 F1=0.6111 QWK=0.6667
  enet_a0.05_l10.3_gPC4_tPC5_interp0: adj=0.7349 LOO_r=0.7415 IS_r=0.9047 gap=0.1632 F1=0.6111 QWK=0.6667
  ridge_a20_gPC4_tPC5_interp0: adj=0.7343 LOO_r=0.7363 IS_r=0.8903 gap=0.1540 F1=0.3333 QWK=0.2500
  enet_a0.1_l10.5_gPC0_tPC6_interp0: adj=0.7341 LOO_r=0.7341 IS_r=0.8545 gap=0.1204 F1=0.5333 QWK=0.5333
  enet_a0.1_l10.5_gPC0_tPC6_interp1: adj=0.7341 LOO_r=0.7341 IS_r=0.8545 gap=0.1204 F1=0.5333 QWK=0.5333
  enet_a0.01_l10.5_gPC4_tPC5_interp0: adj=0.7339 LOO_r=0.7415 IS_r=0.9066 gap=0.1652 F1=0.6111 QWK=0.6667
  enet_a0.05_l10.5_gPC4_tPC4_interp1: adj=0.7338 LOO_r=0.7395 IS_r=0.9010 gap=0.1614 F1=0.5805 QWK=0.6286
  ridge_a10_gPC4_tPC4_interp1: adj=0.7338 LOO_r=0.7375 IS_r=0.8950 gap=0.1575 F1=0.5557 QWK=0.5517
  enet_a0.05_l10.3_gPC4_tPC5_interp1: adj=0.7335 LOO_r=0.7406 IS_r=0.9047 gap=0.1641 F1=0.6111 QWK=0.6667
  ridge_a5_gPC7_tPC6_interp0: adj=0.7332 LOO_r=0.7448 IS_r=0.9181 gap=0.1733 F1=0.6111 QWK=0.6667
  ridge_a20_gPC6_tPC6_interp0: adj=0.7329 LOO_r=0.7418 IS_r=0.9096 gap=0.1678 F1=0.5463 QWK=0.5185
  ridge_a100_gPC3_tPC6_interp1: adj=0.7327 LOO_r=0.7327 IS_r=0.8406 gap=0.1079 F1=0.1667 QWK=0.0000
  ridge_a2_gPC4_tPC5_interp1: adj=0.7326 LOO_r=0.7405 IS_r=0.9064 gap=0.1658 F1=0.6111 QWK=0.6667
